;Inc_Ratio,UD_PCT_INC1,UD_PCT_INC2,UD_PCT_INC3,UD_PCT_INC4,UD_Sum,WF_PCT_INC1,WF_PCT_INC2,WF_PCT_INC3,WF_PCT_INC4,WF_Sum,CA_PCT_INC1,CA_PCT_INC2,CA_PCT_INC3,CA_PCT_INC4,CA_Sum,DX_PCT_INC1,DX_PCT_INC2,DX_PCT_INC3,DX_PCT_INC4,DX_Sum
0.3,0.7907,0.1804,0.0289,0,1,0.6945,0.2894,0.0161,0,1,0.7947,0.1733,0.032,0,1,0.8235,0.1317,0.0448,0,1
0.4,0.6519,0.2126,0.0911,0.0444,1,0.5877,0.2865,0.0942,0.0316,1,0.6669,0.213,0.0868,0.0333,1,0.6968,0.1738,0.0844,0.045,1
0.5,0.5423,0.227,0.1348,0.0959,1,0.4973,0.2823,0.1585,0.0619,1,0.552,0.2391,0.1362,0.0727,1,0.5768,0.2079,0.1177,0.0976,1
0.6,0.4421,0.2428,0.1707,0.1444,1,0.4155,0.2739,0.2092,0.1014,1,0.4604,0.2479,0.1828,0.1089,1,0.4738,0.2292,0.1495,0.1475,1
0.7,0.3639,0.2444,0.197,0.1947,1,0.3461,0.2638,0.249,0.1411,1,0.3805,0.2513,0.217,0.1512,1,0.3925,0.2409,0.1711,0.1955,1
0.8,0.3015,0.2378,0.2172,0.2435,1,0.287,0.2526,0.2792,0.1812,1,0.3129,0.2468,0.2385,0.2018,1,0.3258,0.2438,0.193,0.2374,1
0.9,0.2527,0.2254,0.2326,0.2893,1,0.2372,0.24,0.3013,0.2215,1,0.2576,0.238,0.2508,0.2536,1,0.2731,0.2405,0.2102,0.2762,1
1,0.2141,0.2087,0.2433,0.3339,1,0.1948,0.2268,0.3162,0.2622,1,0.2116,0.2259,0.2554,0.3071,1,0.2295,0.2312,0.2264,0.3129,1
1.1,0.1818,0.1883,0.2484,0.3815,1,0.1598,0.2127,0.3247,0.3028,1,0.1739,0.2112,0.2537,0.3612,1,0.1935,0.2175,0.2397,0.3493,1
1.2,0.1553,0.1661,0.2482,0.4304,1,0.1306,0.1981,0.328,0.3433,1,0.1435,0.1946,0.2471,0.4148,1,0.1632,0.1998,0.2518,0.3852,1
1.3,0.1333,0.1438,0.243,0.4799,1,0.1071,0.183,0.3262,0.3837,1,0.119,0.177,0.2366,0.4674,1,0.138,0.1794,0.2606,0.422,1
1.4,0.1145,0.1234,0.2332,0.5289,1,0.0882,0.1675,0.3203,0.424,1,0.0995,0.159,0.2234,0.5181,1,0.1169,0.1579,0.2643,0.4609,1
1.5,0.0983,0.1063,0.219,0.5764,1,0.0735,0.1518,0.3108,0.4639,1,0.0844,0.141,0.2081,0.5665,1,0.0995,0.1366,0.261,0.5029,1
1.6,0.0835,0.0912,0.2016,0.6237,1,0.0626,0.1358,0.298,0.5036,1,0.069,0.1209,0.1934,0.6167,1,0.0858,0.1164,0.2489,0.5489,1
1.7,0.0671,0.0783,0.1814,0.6732,1,0.0515,0.1203,0.2836,0.5446,1,0.0583,0.1033,0.177,0.6614,1,0.0744,0.0985,0.2292,0.5979,1
1.8,0.0551,0.0649,0.1649,0.7151,1,0.041,0.105,0.2673,0.5867,1,0.048,0.0867,0.1613,0.704,1,0.06,0.0846,0.2027,0.6527,1
1.9,0.0434,0.0521,0.1415,0.763,1,0.0339,0.0895,0.2484,0.6282,1,0.0384,0.0706,0.1462,0.7448,1,0.0525,0.0653,0.1777,0.7045,1
2,0.0317,0.0395,0.1144,0.8144,1,0.027,0.0741,0.2283,0.6706,1,0.032,0.0549,0.1301,0.783,1,0.0414,0.0481,0.149,0.7615,1
2.1,0.0237,0.0304,0.0945,0.8514,1,0.0202,0.0589,0.2067,0.7142,1,0.0257,0.0396,0.1136,0.8211,1,0.0339,0.035,0.1189,0.8122,1
2.2,0.0157,0.0218,0.0663,0.8962,1,0.0136,0.0439,0.1839,0.7586,1,0.0132,0.0243,0.0984,0.8641,1,0.0227,0.0222,0.0902,0.8649,1
2.3,0.0077,0.013,0.0471,0.9322,1,0.01,0.029,0.1596,0.8014,1,0.0066,0.0124,0.0823,0.8987,1,0.0075,0.0133,0.0602,0.919,1
2.4,0.004,0.0043,0.0278,0.9639,1,0.0068,0.0145,0.1342,0.8445,1,0.0034,0.0042,0.0656,0.9268,1,0.0039,0.0044,0.0301,0.9616,1
2.5,0,0,0.0091,0.9909,1,0,0,0.1087,0.8913,1,0,0,0.0484,0.9516,1,0,0,0.0098,0.9902,1
