;ID,AM_PCT,MD_PCT,PM_PCT,EV_PCT,AM_PA,MD_PA,PM_PA,EV_PA,PURP
10100,0.3254,0.1831,0.3074,0.1841,0.9706,0.569,0.0871,0.2891,HBW
10200,0.084,0.3383,0.2401,0.3376,0.7283,0.5495,0.505,0.3901,HBO
10300,0.0563,0.5024,0.2482,0.1931,0.5,0.5,0.5,0.5,NHB
10400,0.3784,0.2931,0.2941,0.0344,0.7899,0.4306,0.2268,0.2391,HBSch
10500,0.2592,0.3374,0.1853,0.2181,0.9828,0.5259,0.242,0.1057,HBC
10600,0.084,0.3383,0.2401,0.3376,0.7283,0.5495,0.505,0.3901,Rec
10700,0.159,0.3522,0.2274,0.2614,0.5,0.5,0.5,0.5,LT
10800,0.159,0.3522,0.2274,0.2614,0.5,0.5,0.5,0.5,MD
10900,0.159,0.3522,0.2274,0.2614,0.5,0.5,0.5,0.5,HV
10210,0.0192,0.4391,0.2496,0.2921,0.7826,0.5615,0.4604,0.4228,HBShp
10220,0.0997,0.3129,0.2367,0.3507,0.7147,0.5517,0.5181,0.3806,HBOth
10310,0.0697,0.5582,0.2597,0.1124,0.5,0.5,0.5,0.5,NHBW
10320,0.0498,0.4752,0.2426,0.2324,0.5,0.5,0.5,0.5,NHBNW
10510,0.3156,0.3085,0.1873,0.1886,0.9891,0.6041,0.1671,0.103,HBC_BYU
10520,0.2716,0.389,0.2044,0.135,0.98,0.609,0.0836,0.1581,HBC_ENSIGN
10530,0.2583,0.3888,0.1495,0.2034,0.9758,0.5558,0.3722,0.1534,HBC_SLCC
10540,0.2504,0.4016,0.1536,0.1944,0.9636,0.5594,0.4289,0.2004,HBC_SLCC_MAIN
10541,0.3347,0.3039,0.1475,0.2139,0.98,0.5986,0.1571,0.05,HBC_SLCC_JD
10542,0.232,0.3119,0.152,0.3041,0.98,0.5812,0.4869,0.05,HBC_SLCC_ML
10543,0.244,0.4101,0.1333,0.2126,0.98,0.5986,0.1571,0.05,HBC_SLCC_SC
10550,0.3156,0.3085,0.1873,0.1886,0.9891,0.6041,0.1671,0.103,HBC_UOFU_MAIN
10560,0.3074,0.3282,0.1482,0.2162,0.9838,0.4609,0.3821,0.1614,HBC_WSU
10561,0.3305,0.3431,0.1423,0.1841,0.9925,0.444,0.3562,0.1615,HBC_WSU_MAIN
10562,0.1906,0.2538,0.1778,0.3778,0.908,0.576,0.4869,0.161,HBC_WSU_DAVIS
10570,0.2612,0.3427,0.1917,0.2044,0.9881,0.5962,0.3086,0.1226,HBC_UVU
10580,0.1439,0.3831,0.2339,0.2391,0.98,0.7651,0.3846,0.05,HBC_WESTMIN
20000,0.1909,0.3136,0.2567,0.2388,0.6604,0.5593,0.4044,0.3968,IX
20100,0.3359,0.1508,0.3043,0.209,0.9612,0.6336,0.0647,0.5446,IX_HBW
20200,0.1595,0.3371,0.2241,0.2793,0.8277,0.6344,0.5118,0.292,IX_HBO
20300,0.123,0.3837,0.2671,0.2262,0.6008,0.6276,0.6911,0.6127,IX_NHB
20400,0.4635,0.1724,0.3636,0.0005,0.7843,0.5798,0.0001,0.0001,IX_HBS
20500,0.2571,0.5353,0.2071,0.0005,1,0.5081,0.0001,0.0001,IX_HBC
20600,0.1595,0.3371,0.2241,0.2793,0.8277,0.6344,0.5118,0.292,IX_Rec
20700,0.2368,0.2212,0.143,0.399,0.5,0.5,0.5,0.5,IX_LT
20800,0.159,0.3522,0.2274,0.2614,0.5,0.5,0.5,0.5,IX_MD
20900,0.159,0.3522,0.2274,0.2614,0.5,0.5,0.5,0.5,IX_HV
30000,0.1969,0.3263,0.2617,0.2151,0.7709,0.6087,0.3111,0.317,XI
30100,0.3827,0.1092,0.2928,0.2153,0.9808,0.6414,0.0328,0.5131,XI_HBW
30200,0.1037,0.3809,0.2455,0.2699,0.9133,0.6257,0.3468,0.1674,XI_HBO
30300,0.0951,0.5114,0.2567,0.1367,0.5941,0.5899,0.7287,0.5464,XI_NHB
30400,0.8057,0.1933,0.0005,0.0005,1,1,0.0001,0.0001,XI_HBS
30500,0.3342,0.4095,0.2558,0.0005,1,0.4296,0.0001,0.0001,XI_HBC
30600,0.1037,0.3809,0.2455,0.2699,0.9133,0.6257,0.3468,0.1674,XI_Rec
30700,0.3591,0.2246,0.0789,0.3374,0.5,0.5,0.5,0.5,XI_LT
30800,0.159,0.3522,0.2274,0.2614,0.5,0.5,0.5,0.5,XI_MD
30900,0.159,0.3522,0.2274,0.2614,0.5,0.5,0.5,0.5,XI_HV
40000,0.1786,0.3291,0.2604,0.2319,0.8562,0.5627,0.3288,0.329,XX
40100,0.1786,0.3291,0.2604,0.2319,0.8563,0.5627,0.3288,0.329,XX_HBW
40200,0.1786,0.3291,0.2604,0.2319,0.8563,0.5627,0.3288,0.329,XX_HBO
40300,0.1786,0.3291,0.2604,0.2319,0.8563,0.5627,0.3288,0.329,XX_NHB
40400,0.1786,0.3291,0.2604,0.2319,0.8563,0.5627,0.3288,0.329,XX_HBS
40500,0.1786,0.3291,0.2604,0.2319,0.8563,0.5627,0.3288,0.329,XX_HBC
40600,0.1786,0.3291,0.2604,0.2319,0.8563,0.5627,0.3288,0.329,XX_Rec
40700,0.2992,0.196,0.1376,0.3672,0.5,0.5,0.5,0.5,XX_LT
40800,0.3595,0.1294,0.0762,0.4349,0.5,0.5,0.5,0.5,XX_MD
40900,0.3058,0.0569,0.2448,0.3925,0.5,0.5,0.5,0.5,XX_HV
